provider_country,country_name,source,note
Ireland,Republic of Ireland,CPO ruling 2026-08-16 (#69): explicit exception,"Deliberate EXCEPTION to the everyday-short-form rule. It renders beside Northern Ireland and football keeps the contrast readable."
Ivory-Coast,Ivory Coast,"CPO ruling 2026-08-16 (#69): English, everyday short form, no diacritics",Provider hyphenates multi-word names in /teams.
Korea DPR,North Korea,"CPO ruling 2026-08-16 (#69): English, everyday short form, no diacritics",Provider uses the FIFA form.
Korea Republic,South Korea,"CPO ruling 2026-08-16 (#69): English, everyday short form, no diacritics",Provider uses the FIFA form.
Kyrgyz Republic,Kyrgyzstan,"CPO ruling 2026-08-16 (#69): English, everyday short form, no diacritics",Provider uses the formal state title; canonical is the everyday short form.
Macedonia,North Macedonia,"CPO ruling 2026-08-16 (#69): English, everyday short form, no diacritics",Provider uses the pre-rename name.
New-Caledonia,New Caledonia,"CPO ruling 2026-08-16 (#69): English, everyday short form, no diacritics",Provider hyphenates multi-word names in /teams.
New-Zealand,New Zealand,"CPO ruling 2026-08-16 (#69): English, everyday short form, no diacritics",Provider hyphenates multi-word names in /teams.
North-Korea,North Korea,"CPO ruling 2026-08-16 (#69): English, everyday short form, no diacritics",Provider hyphenates multi-word names in /teams.
Northern-Ireland,Northern Ireland,"CPO ruling 2026-08-16 (#69): English, everyday short form, no diacritics",Provider hyphenates multi-word names in /teams.
Papua-New-Guinea,Papua New Guinea,"CPO ruling 2026-08-16 (#69): English, everyday short form, no diacritics",Provider hyphenates multi-word names in /teams.
Puerto-Rico,Puerto Rico,"CPO ruling 2026-08-16 (#69): English, everyday short form, no diacritics",Provider hyphenates multi-word names in /teams.
Republic of the Congo,Congo,"CPO ruling 2026-08-16 (#69): English, everyday short form, no diacritics",Provider uses the formal state title; canonical is the everyday short form.
Réunion,Reunion,"CPO ruling 2026-08-16 (#69): English, everyday short form, no diacritics",Provider spelling carries a diacritic; canonical is ASCII English.
Saint-Kitts-and-Nevis,Saint Kitts and Nevis,"CPO ruling 2026-08-16 (#69): English, everyday short form, no diacritics",Provider hyphenates multi-word names in /teams.
Saint-Lucia,Saint Lucia,"CPO ruling 2026-08-16 (#69): English, everyday short form, no diacritics",Provider hyphenates multi-word names in /teams.
Saint-Martin,Saint Martin,"CPO ruling 2026-08-16 (#69): English, everyday short form, no diacritics",Provider hyphenates multi-word names in /teams.
Saint-Vincent-and-the-Grenadin,Saint Vincent and the Grenadines,"CPO ruling 2026-08-16 (#69): English, everyday short form, no diacritics",Provider truncates the name.
San-Marino,San Marino,"CPO ruling 2026-08-16 (#69): English, everyday short form, no diacritics",Provider hyphenates multi-word names in /teams.
Saudi-Arabia,Saudi Arabia,"CPO ruling 2026-08-16 (#69): English, everyday short form, no diacritics",Provider hyphenates multi-word names in /teams.
Sierra-Leone,Sierra Leone,"CPO ruling 2026-08-16 (#69): English, everyday short form, no diacritics",Provider hyphenates multi-word names in /teams.
Solomon-Islands,Solomon Islands,"CPO ruling 2026-08-16 (#69): English, everyday short form, no diacritics",Provider hyphenates multi-word names in /teams.
South-Africa,South Africa,"CPO ruling 2026-08-16 (#69): English, everyday short form, no diacritics",Provider hyphenates multi-word names in /teams.
South-Korea,South Korea,"CPO ruling 2026-08-16 (#69): English, everyday short form, no diacritics",Provider hyphenates multi-word names in /teams.
South-Sudan,South Sudan,"CPO ruling 2026-08-16 (#69): English, everyday short form, no diacritics",Provider hyphenates multi-word names in /teams.
Sri-Lanka,Sri Lanka,"CPO ruling 2026-08-16 (#69): English, everyday short form, no diacritics",Provider hyphenates multi-word names in /teams.
St. Kitts and Nevis,Saint Kitts and Nevis,"CPO ruling 2026-08-16 (#69): English, everyday short form, no diacritics",Provider abbreviates Saint.
St. Lucia,Saint Lucia,"CPO ruling 2026-08-16 (#69): English, everyday short form, no diacritics",Provider abbreviates Saint.
St. Vincent and the Grenadines,Saint Vincent and the Grenadines,"CPO ruling 2026-08-16 (#69): English, everyday short form, no diacritics",Provider abbreviates Saint.
São Tomé e Príncipe,Sao Tome and Principe,"CPO ruling 2026-08-16 (#69): English, everyday short form, no diacritics",Provider uses a different English name.
São-Tomé-e-Príncipe,Sao Tome and Principe,"CPO ruling 2026-08-16 (#69): English, everyday short form, no diacritics",Provider uses a different English name.
Timor-Leste,East Timor,"CPO ruling 2026-08-16 (#69): English, everyday short form, no diacritics",Provider uses a different English name.
Trinidad-And-Tobago,Trinidad and Tobago,"CPO ruling 2026-08-16 (#69): English, everyday short form, no diacritics",Provider capitalises the conjunction.
Turks-and-Caicos-Islands,Turks and Caicos Islands,"CPO ruling 2026-08-16 (#69): English, everyday short form, no diacritics",Provider hyphenates multi-word names in /teams.
Türkiye,Turkey,"CPO ruling 2026-08-16 (#69): English, everyday short form, no diacritics",Provider uses a different English name.
United-Arab-Emirates,United Arab Emirates,"CPO ruling 2026-08-16 (#69): English, everyday short form, no diacritics",Provider hyphenates multi-word names in /teams.
US-Virgin-Islands,US Virgin Islands,"CPO ruling 2026-08-16 (#69): English, everyday short form, no diacritics",Provider hyphenates multi-word names in /teams.
USA,United States of America,CPO ruling 2026-08-15 (#62): verbatim CPO wording,"Deliberate EXCEPTION to the #69 rule, which would give United States. The CPO chose the long form and it stands."
